y,x1,x2
0,-0.31659,4.57084
0,1.67473,4.30756
0,0.23152,3.47735
1,2.73173,0.51565
1,2.50905,-0.93208
0,1.7626,3.83737
1,0.03886,0.35821
1,0.91547,1.68262
1,4.06652,0.85307
0,2.11567,3.06896
0,0.78562,3.90894
1,1.46386,2.02208
1,1.37724,2.19551
1,2.41003,1.51455
1,1.12511,0.71907
1,0.45343,0.01048
1,2.12985,-0.17944
0,0.62284,2.68731
1,3.81025,0.76468
1,2.27478,1.29073
0,0.32398,3.7826
0,1.90812,4.64375
1,1.36797,0.78019
0,0.54112,6.15305
1,1.32622,1.09422
0,1.37861,3.61898
1,1.6071,0.24833
0,0.08848,2.32299
1,1.85237,0.78778
0,1.28934,3.44969
1,1.45461,2.44991
1,2.03184,1.97686
1,2.9311,0.78256
0,2.50905,5.77315
0,-0.19685,6.24741
1,2.25457,0.84706
0,0.94809,4.73212
0,0.10547,3.72494
1,2.61928,-0.38689
1,1.28957,1.45345
1,1.69021,-0.89366
1,1.54991,0.08187
0,1.66609,5.60563
0,1.92352,4.14878
0,1.02203,4.1166
1,1.53775,-0.08117
0,0.95925,4.68294
0,2.04478,3.8504
1,2.66039,1.79322
0,0.66472,4.35995
1,3.79414,1.89206
1,2.40705,1.2769
0,0.20635,4.84304
1,2.04041,1.71907
0,-0.27653,5.08128
0,-0.02395,2.75902
0,1.67004,4.14421
0,0.61158,4.46049
1,1.11629,1.91468
0,1.40253,4.9807
0,0.87782,3.64031
1,2.50346,2.59385
0,0.95194,3.56576
1,2.09503,-0.66933
1,1.61608,1.079
0,-0.09448,5.35824
1,0.55287,-0.88
1,1.39671,0.38343
1,1.27264,0.78727
1,2.55396,1.94564
0,-0.06898,5.51493
0,0.57309,5.52623
1,1.79362,0.71542
0,0.46546,3.12316
1,1.87021,0.09002
0,3.24602,2.84942
0,0.70827,5.10624
1,1.95357,0.91694
0,0.43341,4.71984
1,2.17042,0.51852
0,0.37996,4.25122
1,1.24964,-0.22065
1,1.92516,0.99162
0,1.88645,4.62101
1,0.69549,0.85626
0,2.07593,4.95905
1,2.25034,-0.8839
0,0.28422,5.84016
0,1.84071,3.56162
1,2.99171,0.86257
0,1.64856,4.71125
0,0.57682,4.67384
1,1.1465,0.47335
1,1.25213,0.43333
1,0.87611,2.19909
1,2.85583,0.97592
0,2.15505,4.12386
1,3.15555,2.19569
1,2.37243,1.4177
0,1.44193,2.76754
1,2.99201,2.30999
0,-0.33964,3.8422
1,1.15787,2.21013
1,-0.18434,1.29916
0,1.55286,4.09549
0,0.96059,4.46472
0,1.64265,3.84307
1,2.06562,1.6177
0,0.62836,4.46014
1,3.18386,1.39366
1,2.42609,1.03973
1,2.39417,2.91871
1,-0.23335,1.14915
1,1.98799,-0.42073
0,0.90803,6.01713
0,1.42013,4.63746
0,1.3527,3.20439
0,0.06345,5.4208
0,-0.12811,4.35595
0,0.02033,3.95781
0,1.49955,4.13224
0,0.23671,5.8468
1,3.0842,0.82538
1,-0.30891,0.918
0,1.50016,4.39221
1,1.13615,1.09042
0,1.37532,1.53119
0,1.02577,4.79762
0,3.28019,3.24377
1,1.95092,-0.09034
0,0.28843,3.08971
0,1.83419,5.44489
1,0.05105,1.27454
1,2.81066,1.76507
1,2.52143,0.52742
0,2.44285,5.15634
0,-0.73,6.25456
0,0.25067,2.92042
0,0.11504,6.21385
0,-1.27929,3.28128
1,1.03723,0.81981
0,0.30194,4.33562
0,-0.17991,5.08499
1,0.77558,0.31223
0,1.92636,4.15243
0,0.59139,4.39814
0,-0.44779,3.81047
0,1.92569,4.39134
1,2.82667,1.9271
1,0.83733,0.5927
1,0.6493,0.30761
0,2.1643,4.62073
1,1.92336,1.30243
0,-0.35799,2.95707
0,1.25619,4.20564
0,0.06897,4.35573
1,0.23101,1.20127
1,1.70902,0.10303
1,3.46644,1.68347
0,0.16291,2.83736
0,1.33264,5.01036
1,1.35035,1.57764
0,2.85942,2.95603
0,1.54356,4.08111
0,-0.18888,5.20461
0,0.29226,5.96334
1,3.47825,1.29375
1,2.2192,0.99399
1,1.48596,1.16757
0,0.86573,5.32396
1,0.50484,1.31498
0,2.89921,5.7843
1,2.09227,1.66557
1,2.64515,0.5338
1,1.12253,-0.3654
1,1.58523,0.68093
1,1.60146,1.30093
0,1.25079,3.41287
1,2.59858,1.33671
1,1.96489,2.26526
0,1.26261,4.91263
1,2.77837,0.92228
1,1.2974,0.84758
1,0.42263,-0.6701
0,0.98677,6.08966
1,1.39521,1.07348
0,1.0149,2.64707
0,0.17286,3.61424
0,0.37762,3.18789
1,1.52256,1.98841
0,1.8179,4.05433
0,-0.21259,3.79697
0,0.66726,2.62778
0,1.66781,4.99854
1,1.2666,1.9923
0,-0.96001,4.49257
1,2.95053,2.27263
0,1.25671,3.31066
1,1.1109,1.13577
0,-0.56453,4.36705
0,-0.63763,4.09105
1,2.86794,1.48492
1,0.60873,1.69796
0,0.84257,5.38153
0,0.53535,4.02343
0,0.16312,2.5775
1,3.13346,-1.66152
1,2.92423,1.17454
1,2.23919,0.51217
1,0.10956,-0.01512
1,3.5686,1.4508
0,2.46452,6.19968
0,2.3408,3.61434
0,1.73731,4.42546
1,1.74615,0.6642
0,-1.6829,4.91011
1,1.96934,1.09196
1,0.87764,-0.24253
1,3.23665,0.26576
0,0.62228,2.92884
0,0.34042,4.98022
1,2.98477,1.47989
1,1.94478,-0.76304
0,0.93699,3.13569
1,1.68456,-0.04795
1,1.35894,0.60727
1,1.09476,0.10455
1,2.66719,-0.44383
1,2.26875,-0.31091
1,2.77525,-0.20524
0,-0.65393,4.76657
0,-0.29421,5.27318
0,0.56265,3.55633
1,3.78799,1.58216
1,1.99668,0.58012
1,1.6684,0.38737
1,1.66288,-2.14848
1,2.25323,1.9796
0,1.74806,5.12729
0,2.1286,5.38341
0,1.074,4.88674
0,0.47824,6.23332
0,1.89713,4.62251
0,1.13278,4.53597
1,1.02533,0.54772
0,-0.72184,4.69107
1,1.6306,0.0677
0,0.33265,2.08038
0,0.51267,4.78527
0,0.66538,4.40119
1,2.438,0.86342
0,1.04279,4.60626
0,0.49661,4.92415
1,2.23861,2.56861
